,3,6,9,12,15,18,24,port
0,-0.0247,-0.0262,-0.0517,-0.0633,-0.0572,-0.0502,-0.0742,winner
,£¨-2.33£©,£¨-1.73£©,£¨-2.84£©,£¨-2.86£©,£¨-2.06£©,£¨-1.57£©,£¨-1.94£©,
1,-0.0527,-0.061,-0.0768,-0.0495,-0.0272,-0.0745,-0.0533,loser
,£¨-4.59£©,£¨-3.74£©,£¨-4.06£©,£¨-1.74£©,£¨-0.77£©,£¨-2.29£©,£¨-1.18£©,
2,0.028,0.0347,0.0251,-0.0138,-0.0299,0.0244,-0.0208,w_l
,£¨4.62£©,£¨4.37£©,£¨3.93£©,£¨-1.23£©,£¨-2.15£©,£¨2.24£©,£¨-2.23£©,
3,-0.0149,-0.0485,0.0205,-0.0745,-0.0515,-0.0217,-0.0459,winner
,£¨-1.36£©,£¨-3.04£©,£¨0.9£©,£¨-3.3£©,£¨-1.92£©,£¨-0.58£©,£¨-1.18£©,
4,-0.0431,-0.0718,-0.042,-0.0582,-0.0753,-0.0882,-0.0715,loser
,£¨-3.58£©,£¨-4.45£©,£¨-1.77£©,£¨-1.97£©,£¨-2.29£©,£¨-2.62£©,£¨-1.42£©,
5,0.0282,0.0233,0.0625,-0.0163,0.0238,0.0665,0.0256,w_l
,£¨4.27£©,£¨2.56£©,£¨5.45£©,£¨-1.36£©,£¨2.18£©,£¨3.53£©,£¨1.76£©,
6,-0.0584,-0.0728,-0.0727,0.0118,-0.0509,-0.0555,-0.053,winner
,£¨-5.55£©,£¨-4.66£©,£¨-4.54£©,£¨0.41£©,£¨-1.94£©,£¨-1.99£©,£¨-1.3£©,
7,-0.0984,-0.0993,-0.0972,-0.1104,-0.082,-0.0989,-0.0293,loser
,£¨-8.87£©,£¨-6.56£©,£¨-5.33£©,£¨-4.89£©,£¨-2.98£©,£¨-3.02£©,£¨-0.47£©,
8,0.0399,0.0265,0.0244,0.1222,0.0311,0.0434,-0.0237,w_l
,£¨6.49£©,£¨2.98£©,£¨3.3£©,£¨6.02£©,£¨2.8£©,£¨4.59£©,£¨-1.01£©,
9,-0.1029,-0.0993,-0.0822,-0.118,-0.1418,-0.1057,-0.1645,winner
,£¨-10.37£©,£¨-7.04£©,£¨-4.72£©,£¨-6.03£©,£¨-6.86£©,£¨-4.48£©,£¨-5.84£©,
10,-0.0965,-0.1175,-0.1132,-0.1234,-0.0874,-0.0755,-0.1325,loser
,£¨-7.98£©,£¨-7.45£©,£¨-5.94£©,£¨-5.68£©,£¨-2.87£©,£¨-2.18£©,£¨-3.01£©,
11,-0.0064,0.0182,0.031,0.0053,-0.0544,-0.0302,-0.032,w_l
,£¨-1.02£©,£¨2.04£©,£¨2.97£©,£¨0.4£©,£¨-3.85£©,£¨-1.42£©,£¨-1.24£©,
12,-0.0938,-0.1066,-0.0981,-0.1305,-0.1527,-0.192,-0.1835,winner
,£¨-9.31£©,£¨-7.68£©,£¨-5.17£©,£¨-7.31£©,£¨-7.01£©,£¨-8.43£©,£¨-7.7£©,
13,-0.1029,-0.1194,-0.0969,-0.0916,-0.1003,-0.1063,-0.076,loser
,£¨-8.23£©,£¨-7.39£©,£¨-4£©,£¨-3.48£©,£¨-3.6£©,£¨-2.96£©,£¨-2.06£©,
14,0.0091,0.0127,-0.0012,-0.0389,-0.0523,-0.0858,-0.1075,w_l
,£¨1.34£©,£¨1.44£©,£¨-0.1£©,£¨-2.88£©,£¨-5.38£©,£¨-5.49£©,£¨-7.34£©,
15,-0.1137,-0.1505,-0.1663,-0.1735,-0.1781,-0.2036,-0.2084,winner
,£¨-11.92£©,£¨-12.11£©,£¨-11.17£©,£¨-10.15£©,£¨-8.58£©,£¨-11.11£©,£¨-12.88£©,
16,-0.1218,-0.1284,-0.1215,-0.1711,-0.1304,-0.1451,-0.1842,loser
,£¨-9.61£©,£¨-7.52£©,£¨-6.13£©,£¨-8.94£©,£¨-4.11£©,£¨-5.86£©,£¨-9.04£©,
17,0.008,-0.0222,-0.0448,-0.0025,-0.0476,-0.0585,-0.0242,w_l
,£¨1.38£©,£¨-2.4£©,£¨-4.85£©,£¨-0.27£©,£¨-3.47£©,£¨-5.54£©,£¨-2.55£©,